theme,url,img,lines,author
BRAVERY,/inspirational-quotes/8182-there-is-always-light-if-only-were-brave,https://assets.passiton.com/quotes/quote_artwork/8182/medium/20231016_monday_quote.jpg,"There is always light, if only we're brave enough to see it. If only we're brave enough to be it.",<Author:0x00007fa212a9a130>
INNOVATION,/inspirational-quotes/8204-you-have-all-the-reason-in-the-world-to-achieve,https://assets.passiton.com/quotes/quote_artwork/8204/medium/20231013_friday_quote.jpg,You have all the reason in the world to achieve your grandest dreams. Imagination plus innovation equals realization.,<Author:0x00007fa212a802d0>
INNOVATION,/inspirational-quotes/8345-vulnerability-is-the-birthplace-of-innovation,https://assets.passiton.com/quotes/quote_artwork/8345/medium/20231012_thursday_quote.jpg,"Vulnerability is the birthplace of innovation, creativity and change.",<Author:0x00007fa212a62618>
INNOVATION,/inspirational-quotes/7382-you-cannot-discover-new-oceans-unless-you-have,https://assets.passiton.com/quotes/quote_artwork/7382/medium/20231011_wednesday_quote.jpg,You cannot discover new oceans unless you have the courage to lose sight of the shore.,<Author:0x00007fa212c05a10>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20231010_tuesday_quote.jpg,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x00007fa212be7bc8>
INNOVATION,/inspirational-quotes/8344-innovation-is-to-imagine-the-future-and-fill-in,https://assets.passiton.com/quotes/quote_artwork/8344/medium/20231009_monday_quote.jpg,Innovation is to imagine the future and fill in the gaps.,<Author:0x00007fa212c478e8>
FORGIVENESS,/inspirational-quotes/4448-without-forgiveness-there-is-no-future,https://assets.passiton.com/quotes/quote_artwork/4448/medium/20231006_friday_quote.jpg,"Without forgiveness, there is no future.",<Author:0x00007fa212c34c20>
FORGIVENESS,/inspirational-quotes/4080-to-forgive-is-to-set-a-prisoner-free-and,https://assets.passiton.com/quotes/quote_artwork/4080/medium/20231005_thursday_quote.jpg,To forgive is to set a prisoner free and discover that the prisoner was you.,<Author:0x00007fa212c86408>
FORGIVENESS,/inspirational-quotes/8394-a-happy-marriage-is-the-union-of-two-good,https://assets.passiton.com/quotes/quote_artwork/8394/medium/20231004_wednesday_quote.jpg,A happy marriage is the union of two good forgivers.,<Author:0x00007fa212c6f0a0>
FORGIVENESS,/inspirational-quotes/3128-forgiveness-does-not-change-the-past-but-it,https://assets.passiton.com/quotes/quote_artwork/3128/medium/20231003_tuesday_quote.jpg,"Forgiveness does not change the past, but it does enlarge the future.",<Author:0x00007fa212c5c770>
FORGIVENESS,/inspirational-quotes/8365-mistakes-are-always-forgivable-if-one-has-the,https://assets.passiton.com/quotes/quote_artwork/8365/medium/20231002_monday_quote.jpg,"Mistakes are always forgivable, if one has the courage to admit them.",<Author:0x00007fa212cae0e8>
CARING,/inspirational-quotes/8393-i-cannot-do-all-the-good-that-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/8393/medium/20230929_friday_quote.jpg,I cannot do all the good that the world needs. But the world needs all the good that I can do.,<Author:0x00007fa212c97c58>
